词语      十进制  符号化反转二进制  二进制       反转二进制 
art          102  ○●●○○●●○○○○       00001100110  01100110000
artefact     103  ●●●○○●●○○○○       00001100111  11100110000
artist       104  ○○○●○●●○○○○       00001101000  00010110000
artwork      105  ●○○●○●●○○○○       00001101001  10010110000
ask          106  ○●○●○●●○○○○       00001101010  01010110000
aspect       107  ●●○●○●●○○○○       00001101011  11010110000
assault      108  ○○●●○●●○○○○       00001101100  00110110000
asset        109  ●○●●○●●○○○○       00001101101  10110110000
assist       110  ○●●●○●●○○○○       00001101110  01110110000
assume       111  ●●●●○●●○○○○       00001101111  11110110000
asthma       112  ○○○○●●●○○○○       00001110000  00001110000
athlete      113  ●○○○●●●○○○○       00001110001  10001110000
atom         114  ○●○○●●●○○○○       00001110010  01001110000
attack       115  ●●○○●●●○○○○       00001110011  11001110000
attend       116  ○○●○●●●○○○○       00001110100  00101110000
attitude     117  ●○●○●●●○○○○       00001110101  10101110000
attract      118  ○●●○●●●○○○○       00001110110  01101110000
auction      119  ●●●○●●●○○○○       00001110111  11101110000
audit        120  ○○○●●●●○○○○       00001111000  00011110000
august       121  ●○○●●●●○○○○       00001111001  10011110000
aunt         122  ○●○●●●●○○○○       00001111010  01011110000
author       123  ●●○●●●●○○○○       00001111011  11011110000
auto         124  ○○●●●●●○○○○       00001111100  00111110000
autumn       125  ●○●●●●●○○○○       00001111101  10111110000
average      126  ○●●●●●●○○○○       00001111110  01111110000
avocado      127  ●●●●●●●○○○○       00001111111  11111110000
avoid        128  ○○○○○○○●○○○       00010000000  00000001000
awake        129  ●○○○○○○●○○○       00010000001  10000001000
aware        130  ○●○○○○○●○○○       00010000010  01000001000
away         131  ●●○○○○○●○○○       00010000011  11000001000
awesome      132  ○○●○○○○●○○○       00010000100  00100001000
awful        133  ●○●○○○○●○○○       00010000101  10100001000
awkward      134  ○●●○○○○●○○○       00010000110  01100001000
axis         135  ●●●○○○○●○○○       00010000111  11100001000
baby         136  ○○○●○○○●○○○       00010001000  00010001000
bachelor     137  ●○○●○○○●○○○       00010001001  10010001000
bacon        138  ○●○●○○○●○○○       00010001010  01010001000
badge        139  ●●○●○○○●○○○       00010001011  11010001000
bag          140  ○○●●○○○●○○○       00010001100  00110001000
balance      141  ●○●●○○○●○○○       00010001101  10110001000
balcony      142  ○●●●○○○●○○○       00010001110  01110001000
ball         143  ●●●●○○○●○○○       00010001111  11110001000
bamboo       144  ○○○○●○○●○○○       00010010000  00001001000
banana       145  ●○○○●○○●○○○       00010010001  10001001000
banner       146  ○●○○●○○●○○○       00010010010  01001001000
bar          147  ●●○○●○○●○○○       00010010011  11001001000
barely       148  ○○●○●○○●○○○       00010010100  00101001000
bargain      149  ●○●○●○○●○○○       00010010101  10101001000
barrel       150  ○●●○●○○●○○○       00010010110  01101001000
base         151  ●●●○●○○●○○○       00010010111  11101001000
basic        152  ○○○●●○○●○○○       00010011000  00011001000
basket       153  ●○○●●○○●○○○       00010011001  10011001000
battle       154  ○●○●●○○●○○○       00010011010  01011001000
beach        155  ●●○●●○○●○○○       00010011011  11011001000
bean         156  ○○●●●○○●○○○       00010011100  00111001000
beauty       157  ●○●●●○○●○○○       00010011101  10111001000
because      158  ○●●●●○○●○○○       00010011110  01111001000
become       159  ●●●●●○○●○○○       00010011111  11111001000
beef         160  ○○○○○●○●○○○       00010100000  00000101000
before       161  ●○○○○●○●○○○       00010100001  10000101000
begin        162  ○●○○○●○●○○○       00010100010  01000101000
behave       163  ●●○○○●○●○○○       00010100011  11000101000
behind       164  ○○●○○●○●○○○       00010100100  00100101000
believe      165  ●○●○○●○●○○○       00010100101  10100101000
below        166  ○●●○○●○●○○○       00010100110  01100101000
belt         167  ●●●○○●○●○○○       00010100111  11100101000
bench        168  ○○○●○●○●○○○       00010101000  00010101000
benefit      169  ●○○●○●○●○○○       00010101001  10010101000
best         170  ○●○●○●○●○○○       00010101010  01010101000
betray       171  ●●○●○●○●○○○       00010101011  11010101000
better       172  ○○●●○●○●○○○       00010101100  00110101000
between      173  ●○●●○●○●○○○       00010101101  10110101000
beyond       174  ○●●●○●○●○○○       00010101110  01110101000
bicycle      175  ●●●●○●○●○○○       00010101111  11110101000
bid          176  ○○○○●●○●○○○       00010110000  00001101000
bike         177  ●○○○●●○●○○○       00010110001  10001101000
bind         178  ○●○○●●○●○○○       00010110010  01001101000
biology      179  ●●○○●●○●○○○       00010110011  11001101000
bird         180  ○○●○●●○●○○○       00010110100  00101101000
birth        181  ●○●○●●○●○○○       00010110101  10101101000
bitter       182  ○●●○●●○●○○○       00010110110  01101101000
black        183  ●●●○●●○●○○○       00010110111  11101101000
blade        184  ○○○●●●○●○○○       00010111000  00011101000
blame        185  ●○○●●●○●○○○       00010111001  10011101000
blanket      186  ○●○●●●○●○○○       00010111010  01011101000
blast        187  ●●○●●●○●○○○       00010111011  11011101000
bleak        188  ○○●●●●○●○○○       00010111100  00111101000
bless        189  ●○●●●●○●○○○       00010111101  10111101000
blind        190  ○●●●●●○●○○○       00010111110  01111101000
blood        191  ●●●●●●○●○○○       00010111111  11111101000
blossom      192  ○○○○○○●●○○○       00011000000  00000011000
blouse       193  ●○○○○○●●○○○       00011000001  10000011000
blue         194  ○●○○○○●●○○○       00011000010  01000011000
blur         195  ●●○○○○●●○○○       00011000011  11000011000
blush        196  ○○●○○○●●○○○       00011000100  00100011000
board        197  ●○●○○○●●○○○       00011000101  10100011000
boat         198  ○●●○○○●●○○○       00011000110  01100011000
body         199  ●●●○○○●●○○○       00011000111  11100011000
boil         200  ○○○●○○●●○○○       00011001000  00010011000
bomb         201  ●○○●○○●●○○○       00011001001  10010011000
bone         202  ○●○●○○●●○○○       00011001010  01010011000
bonus        203  ●●○●○○●●○○○       00011001011  11010011000
book         204  ○○●●○○●●○○○       00011001100  00110011000
boost        205  ●○●●○○●●○○○       00011001101  10110011000
border       206  ○●●●○○●●○○○       00011001110  01110011000
boring       207  ●●●●○○●●○○○       00011001111  11110011000
borrow       208  ○○○○●○●●○○○       00011010000  00001011000
boss         209  ●○○○●○●●○○○       00011010001  10001011000
bottom       210  ○●○○●○●●○○○       00011010010  01001011000
bounce       211  ●●○○●○●●○○○       00011010011  11001011000
box          212  ○○●○●○●●○○○       00011010100  00101011000
boy          213  ●○●○●○●●○○○       00011010101  10101011000
bracket      214  ○●●○●○●●○○○       00011010110  01101011000
brain        215  ●●●○●○●●○○○       00011010111  11101011000
brand        216  ○○○●●○●●○○○       00011011000  00011011000
brass        217  ●○○●●○●●○○○       00011011001  10011011000
brave        218  ○●○●●○●●○○○       00011011010  01011011000
bread        219  ●●○●●○●●○○○       00011011011  11011011000
breeze       220  ○○●●●○●●○○○       00011011100  00111011000
brick        221  ●○●●●○●●○○○       00011011101  10111011000
bridge       222  ○●●●●○●●○○○       00011011110  01111011000
brief        223  ●●●●●○●●○○○       00011011111  11111011000
bright       224  ○○○○○●●●○○○       00011100000  00000111000
bring        225  ●○○○○●●●○○○       00011100001  10000111000
brisk        226  ○●○○○●●●○○○       00011100010  01000111000
broccoli     227  ●●○○○●●●○○○       00011100011  11000111000
broken       228  ○○●○○●●●○○○       00011100100  00100111000
bronze       229  ●○●○○●●●○○○       00011100101  10100111000
broom        230  ○●●○○●●●○○○       00011100110  01100111000
brother      231  ●●●○○●●●○○○       00011100111  11100111000
brown        232  ○○○●○●●●○○○       00011101000  00010111000
brush        233  ●○○●○●●●○○○       00011101001  10010111000
bubble       234  ○●○●○●●●○○○       00011101010  01010111000
buddy        235  ●●○●○●●●○○○       00011101011  11010111000
budget       236  ○○●●○●●●○○○       00011101100  00110111000
buffalo      237  ●○●●○●●●○○○       00011101101  10110111000
build        238  ○●●●○●●●○○○       00011101110  01110111000
bulb         239  ●●●●○●●●○○○       00011101111  11110111000
bulk         240  ○○○○●●●●○○○       00011110000  00001111000
bullet       241  ●○○○●●●●○○○       00011110001  10001111000
bundle       242  ○●○○●●●●○○○       00011110010  01001111000
bunker       243  ●●○○●●●●○○○       00011110011  11001111000
burden       244  ○○●○●●●●○○○       00011110100  00101111000
burger       245  ●○●○●●●●○○○       00011110101  10101111000
burst        246  ○●●○●●●●○○○       00011110110  01101111000
bus          247  ●●●○●●●●○○○       00011110111  11101111000
business     248  ○○○●●●●●○○○       00011111000  00011111000
busy         249  ●○○●●●●●○○○       00011111001  10011111000
butter       250  ○●○●●●●●○○○       00011111010  01011111000
buyer        251  ●●○●●●●●○○○       00011111011  11011111000
buzz         252  ○○●●●●●●○○○       00011111100  00111111000
cabbage      253  ●○●●●●●●○○○       00011111101  10111111000
cabin        254  ○●●●●●●●○○○       00011111110  01111111000
cable        255  ●●●●●●●●○○○       00011111111  11111111000
cactus       256  ○○○○○○○○●○○       00100000000  00000000100
cage         257  ●○○○○○○○●○○       00100000001  10000000100
cake         258  ○●○○○○○○●○○       00100000010  01000000100
call         259  ●●○○○○○○●○○       00100000011  11000000100
calm         260  ○○●○○○○○●○○       00100000100  00100000100
camera       261  ●○●○○○○○●○○       00100000101  10100000100
camp         262  ○●●○○○○○●○○       00100000110  01100000100
can          263  ●●●○○○○○●○○       00100000111  11100000100
canal        264  ○○○●○○○○●○○       00100001000  00010000100
cancel       265  ●○○●○○○○●○○       00100001001  10010000100
candy        266  ○●○●○○○○●○○       00100001010  01010000100
cannon       267  ●●○●○○○○●○○       00100001011  11010000100
canoe        268  ○○●●○○○○●○○       00100001100  00110000100
canvas       269  ●○●●○○○○●○○       00100001101  10110000100
canyon       270  ○●●●○○○○●○○       00100001110  01110000100
capable      271  ●●●●○○○○●○○       00100001111  11110000100
capital      272  ○○○○●○○○●○○       00100010000  00001000100
captain      273  ●○○○●○○○●○○       00100010001  10001000100
car          274  ○●○○●○○○●○○       00100010010  01001000100
carbon       275  ●●○○●○○○●○○       00100010011  11001000100
card         276  ○○●○●○○○●○○       00100010100  00101000100
cargo        277  ●○●○●○○○●○○       00100010101  10101000100
carpet       278  ○●●○●○○○●○○       00100010110  01101000100
carry        279  ●●●○●○○○●○○       00100010111  11101000100
cart         280  ○○○●●○○○●○○       00100011000  00011000100
case         281  ●○○●●○○○●○○       00100011001  10011000100
cash         282  ○●○●●○○○●○○       00100011010  01011000100
casino       283  ●●○●●○○○●○○       00100011011  11011000100
castle       284  ○○●●●○○○●○○       00100011100  00111000100
casual       285  ●○●●●○○○●○○       00100011101  10111000100
cat          286  ○●●●●○○○●○○       00100011110  01111000100
catalog      287  ●●●●●○○○●○○       00100011111  11111000100
catch        288  ○○○○○●○○●○○       00100100000  00000100100
category     289  ●○○○○●○○●○○       00100100001  10000100100
cattle       290  ○●○○○●○○●○○       00100100010  01000100100
caught       291  ●●○○○●○○●○○       00100100011  11000100100
cause        292  ○○●○○●○○●○○       00100100100  00100100100
caution      293  ●○●○○●○○●○○       00100100101  10100100100
cave         294  ○●●○○●○○●○○       00100100110  01100100100
ceiling      295  ●●●○○●○○●○○       00100100111  11100100100
celery       296  ○○○●○●○○●○○       00100101000  00010100100
cement       297  ●○○●○●○○●○○       00100101001  10010100100
census       298  ○●○●○●○○●○○       00100101010  01010100100
century      299  ●●○●○●○○●○○       00100101011  11010100100
cereal       300  ○○●●○●○○●○○       00100101100  00110100100
certain      301  ●○●●○●○○●○○       00100101101  10110100100
chair        302  ○●●●○●○○●○○       00100101110  01110100100
chalk        303  ●●●●○●○○●○○       00100101111  11110100100
champion     304  ○○○○●●○○●○○       00100110000  00001100100
change       305  ●○○○●●○○●○○       00100110001  10001100100
chaos        306  ○●○○●●○○●○○       00100110010  01001100100
chapter      307  ●●○○●●○○●○○       00100110011  11001100100
charge       308  ○○●○●●○○●○○       00100110100  00101100100
chase        309  ●○●○●●○○●○○       00100110101  10101100100
chat         310  ○●●○●●○○●○○       00100110110  01101100100
cheap        311  ●●●○●●○○●○○       00100110111  11101100100
check        312  ○○○●●●○○●○○       00100111000  00011100100
cheese       313  ●○○●●●○○●○○       00100111001  10011100100
chef         314  ○●○●●●○○●○○       00100111010  01011100100
cherry       315  ●●○●●●○○●○○       00100111011  11011100100
chest        316  ○○●●●●○○●○○       00100111100  00111100100
chicken      317  ●○●●●●○○●○○       00100111101  10111100100
chief        318  ○●●●●●○○●○○       00100111110  01111100100
child        319  ●●●●●●○○●○○       00100111111  11111100100
chimney      320  ○○○○○○●○●○○       00101000000  00000010100
choice       321  ●○○○○○●○●○○       00101000001  10000010100
choose       322  ○●○○○○●○●○○       00101000010  01000010100
chronic      323  ●●○○○○●○●○○       00101000011  11000010100
chuckle      324  ○○●○○○●○●○○       00101000100  00100010100
chunk        325  ●○●○○○●○●○○       00101000101  10100010100
churn        326  ○●●○○○●○●○○       00101000110  01100010100
cigar        327  ●●●○○○●○●○○       00101000111  11100010100
cinnamon     328  ○○○●○○●○●○○       00101001000  00010010100
circle       329  ●○○●○○●○●○○       00101001001  10010010100
citizen      330  ○●○●○○●○●○○       00101001010  01010010100
city         331  ●●○●○○●○●○○       00101001011  11010010100
civil        332  ○○●●○○●○●○○       00101001100  00110010100
claim        333  ●○●●○○●○●○○       00101001101  10110010100
clap         334  ○●●●○○●○●○○       00101001110  01110010100
clarify      335  ●●●●○○●○●○○       00101001111  11110010100
claw         336  ○○○○●○●○●○○       00101010000  00001010100
clay         337  ●○○○●○●○●○○       00101010001  10001010100
clean        338  ○●○○●○●○●○○       00101010010  01001010100
clerk        339  ●●○○●○●○●○○       00101010011  11001010100
clever       340  ○○●○●○●○●○○       00101010100  00101010100
click        341  ●○●○●○●○●○○       00101010101  10101010100
client       342  ○●●○●○●○●○○       00101010110  01101010100
cliff        343  ●●●○●○●○●○○       00101010111  11101010100
climb        344  ○○○●●○●○●○○       00101011000  00011010100
clinic       345  ●○○●●○●○●○○       00101011001  10011010100
clip         346  ○●○●●○●○●○○       00101011010  01011010100
clock        347  ●●○●●○●○●○○       00101011011  11011010100
clog         348  ○○●●●○●○●○○       00101011100  00111010100
close        349  ●○●●●○●○●○○       00101011101  10111010100
cloth        350  ○●●●●○●○●○○       00101011110  01111010100
cloud        351  ●●●●●○●○●○○       00101011111  11111010100
clown        352  ○○○○○●●○●○○       00101100000  00000110100
club         353  ●○○○○●●○●○○       00101100001  10000110100
clump        354  ○●○○○●●○●○○       00101100010  01000110100
cluster      355  ●●○○○●●○●○○       00101100011  11000110100
clutch       356  ○○●○○●●○●○○       00101100100  00100110100
coach        357  ●○●○○●●○●○○       00101100101  10100110100
coast        358  ○●●○○●●○●○○       00101100110  01100110100
coconut      359  ●●●○○●●○●○○       00101100111  11100110100
code         360  ○○○●○●●○●○○       00101101000  00010110100
coffee       361  ●○○●○●●○●○○       00101101001  10010110100
coil         362  ○●○●○●●○●○○       00101101010  01010110100
coin         363  ●●○●○●●○●○○       00101101011  11010110100
collect      364  ○○●●○●●○●○○       00101101100  00110110100
color        365  ●○●●○●●○●○○       00101101101  10110110100
column       366  ○●●●○●●○●○○       00101101110  01110110100
combine      367  ●●●●○●●○●○○       00101101111  11110110100
come         368  ○○○○●●●○●○○       00101110000  00001110100
comfort      369  ●○○○●●●○●○○       00101110001  10001110100
comic        370  ○●○○●●●○●○○       00101110010  01001110100
common       371  ●●○○●●●○●○○       00101110011  11001110100
company      372  ○○●○●●●○●○○       00101110100  00101110100
concert      373  ●○●○●●●○●○○       00101110101  10101110100
conduct      374  ○●●○●●●○●○○       00101110110  01101110100
confirm      375  ●●●○●●●○●○○       00101110111  11101110100
congress     376  ○○○●●●●○●○○       00101111000  00011110100
connect      377  ●○○●●●●○●○○       00101111001  10011110100
consider     378  ○●○●●●●○●○○       00101111010  01011110100
control      379  ●●○●●●●○●○○       00101111011  11011110100
convince     380  ○○●●●●●○●○○       00101111100  00111110100
cook         381  ●○●●●●●○●○○       00101111101  10111110100
cool         382  ○●●●●●●○●○○       00101111110  01111110100
copper       383  ●●●●●●●○●○○       00101111111  11111110100
copy         384  ○○○○○○○●●○○       00110000000  00000001100
coral        385  ●○○○○○○●●○○       00110000001  10000001100
core         386  ○●○○○○○●●○○       00110000010  01000001100
corn         387  ●●○○○○○●●○○       00110000011  11000001100
correct      388  ○○●○○○○●●○○       00110000100  00100001100
cost         389  ●○●○○○○●●○○       00110000101  10100001100
cotton       390  ○●●○○○○●●○○       00110000110  01100001100
couch        391  ●●●○○○○●●○○       00110000111  11100001100
country      392  ○○○●○○○●●○○       00110001000  00010001100
couple       393  ●○○●○○○●●○○       00110001001  10010001100
course       394  ○●○●○○○●●○○       00110001010  01010001100
cousin       395  ●●○●○○○●●○○       00110001011  11010001100
cover        396  ○○●●○○○●●○○       00110001100  00110001100
coyote       397  ●○●●○○○●●○○       00110001101  10110001100
crack        398  ○●●●○○○●●○○       00110001110  01110001100
cradle       399  ●●●●○○○●●○○       00110001111  11110001100
craft        400  ○○○○●○○●●○○       00110010000  00001001100
cram         401  ●○○○●○○●●○○       00110010001  10001001100
crane        402  ○●○○●○○●●○○       00110010010  01001001100
crash        403  ●●○○●○○●●○○       00110010011  11001001100
crater       404  ○○●○●○○●●○○       00110010100  00101001100
crawl        405  ●○●○●○○●●○○       00110010101  10101001100
crazy        406  ○●●○●○○●●○○       00110010110  01101001100
cream        407  ●●●○●○○●●○○       00110010111  11101001100
credit       408  ○○○●●○○●●○○       00110011000  00011001100
creek        409  ●○○●●○○●●○○       00110011001  10011001100
crew         410  ○●○●●○○●●○○       00110011010  01011001100
cricket      411  ●●○●●○○●●○○       00110011011  11011001100
crime        412  ○○●●●○○●●○○       00110011100  00111001100
crisp        413  ●○●●●○○●●○○       00110011101  10111001100
critic       414  ○●●●●○○●●○○       00110011110  01111001100
crop         415  ●●●●●○○●●○○       00110011111  11111001100
cross        416  ○○○○○●○●●○○       00110100000  00000101100
crouch       417  ●○○○○●○●●○○       00110100001  10000101100
crowd        418  ○●○○○●○●●○○       00110100010  01000101100
crucial      419  ●●○○○●○●●○○       00110100011  11000101100
cruel        420  ○○●○○●○●●○○       00110100100  00100101100
cruise       421  ●○●○○●○●●○○       00110100101  10100101100
crumble      422  ○●●○○●○●●○○       00110100110  01100101100
crunch       423  ●●●○○●○●●○○       00110100111  11100101100
crush        424  ○○○●○●○●●○○       00110101000  00010101100
cry          425  ●○○●○●○●●○○       00110101001  10010101100
crystal      426  ○●○●○●○●●○○       00110101010  01010101100
cube         427  ●●○●○●○●●○○       00110101011  11010101100
culture      428  ○○●●○●○●●○○       00110101100  00110101100
cup          429  ●○●●○●○●●○○       00110101101  10110101100
cupboard     430  ○●●●○●○●●○○       00110101110  01110101100
curious      431  ●●●●○●○●●○○       00110101111  11110101100
current      432  ○○○○●●○●●○○       00110110000  00001101100
curtain      433  ●○○○●●○●●○○       00110110001  10001101100
curve        434  ○●○○●●○●●○○       00110110010  01001101100
cushion      435  ●●○○●●○●●○○       00110110011  11001101100
custom       436  ○○●○●●○●●○○       00110110100  00101101100
cute         437  ●○●○●●○●●○○       00110110101  10101101100
cycle        438  ○●●○●●○●●○○       00110110110  01101101100
dad          439  ●●●○●●○●●○○       00110110111  11101101100
damage       440  ○○○●●●○●●○○       00110111000  00011101100
damp         441  ●○○●●●○●●○○       00110111001  10011101100
dance        442  ○●○●●●○●●○○       00110111010  01011101100
danger       443  ●●○●●●○●●○○       00110111011  11011101100
daring       444  ○○●●●●○●●○○       00110111100  00111101100
dash         445  ●○●●●●○●●○○       00110111101  10111101100
daughter     446  ○●●●●●○●●○○       00110111110  01111101100
dawn         447  ●●●●●●○●●○○       00110111111  11111101100
day          448  ○○○○○○●●●○○       00111000000  00000011100
deal         449  ●○○○○○●●●○○       00111000001  10000011100
debate       450  ○●○○○○●●●○○       00111000010  01000011100
debris       451  ●●○○○○●●●○○       00111000011  11000011100
decade       452  ○○●○○○●●●○○       00111000100  00100011100
december     453  ●○●○○○●●●○○       00111000101  10100011100
decide       454  ○●●○○○●●●○○       00111000110  01100011100
decline      455  ●●●○○○●●●○○       00111000111  11100011100
decorate     456  ○○○●○○●●●○○       00111001000  00010011100
decrease     457  ●○○●○○●●●○○       00111001001  10010011100
deer         458  ○●○●○○●●●○○       00111001010  01010011100
defense      459  ●●○●○○●●●○○       00111001011  11010011100
define       460  ○○●●○○●●●○○       00111001100  00110011100
defy         461  ●○●●○○●●●○○       00111001101  10110011100
degree       462  ○●●●○○●●●○○       00111001110  01110011100
delay        463  ●●●●○○●●●○○       00111001111  11110011100
deliver      464  ○○○○●○●●●○○       00111010000  00001011100
demand       465  ●○○○●○●●●○○       00111010001  10001011100
demise       466  ○●○○●○●●●○○       00111010010  01001011100
denial       467  ●●○○●○●●●○○       00111010011  11001011100
dentist      468  ○○●○●○●●●○○       00111010100  00101011100
deny         469  ●○●○●○●●●○○       00111010101  10101011100
depart       470  ○●●○●○●●●○○       00111010110  01101011100
depend       471  ●●●○●○●●●○○       00111010111  11101011100
deposit      472  ○○○●●○●●●○○       00111011000  00011011100
depth        473  ●○○●●○●●●○○       00111011001  10011011100
deputy       474  ○●○●●○●●●○○       00111011010  01011011100
derive       475  ●●○●●○●●●○○       00111011011  11011011100
describe     476  ○○●●●○●●●○○       00111011100  00111011100
desert       477  ●○●●●○●●●○○       00111011101  10111011100
design       478  ○●●●●○●●●○○       00111011110  01111011100
desk         479  ●●●●●○●●●○○       00111011111  11111011100
despair      480  ○○○○○●●●●○○       00111100000  00000111100
destroy      481  ●○○○○●●●●○○       00111100001  10000111100
detail       482  ○●○○○●●●●○○       00111100010  01000111100
detect       483  ●●○○○●●●●○○       00111100011  11000111100
develop      484  ○○●○○●●●●○○       00111100100  00100111100
device       485  ●○●○○●●●●○○       00111100101  10100111100
devote       486  ○●●○○●●●●○○       00111100110  01100111100
diagram      487  ●●●○○●●●●○○       00111100111  11100111100
dial         488  ○○○●○●●●●○○       00111101000  00010111100
diamond      489  ●○○●○●●●●○○       00111101001  10010111100
diary        490  ○●○●○●●●●○○       00111101010  01010111100
dice         491  ●●○●○●●●●○○       00111101011  11010111100
diesel       492  ○○●●○●●●●○○       00111101100  00110111100
diet         493  ●○●●○●●●●○○       00111101101  10110111100
